id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,predict_bedrooms,predict_bathrooms
7129300520,20141013T000000,221900.0,3.0,1.0,1180.0,5650.0,1.0,0,0,3,7,1180,0,1955,0,98178,47.5112,-122.257,1340,5650,3.0,1.5
6414100192,20141209T000000,538000.0,3.0,2.25,2570.0,7242.0,2.0,0,0,3,7,2170,400,1951,1991,98125,47.721,-122.319,1690,7639,3.0,2.0
5631500400,20150225T000000,180000.0,2.0,1.0,770.0,10000.0,1.0,0,0,3,6,770,0,1933,0,98028,47.7379,-122.233,2720,8062,2.0,1.0
2487200875,20141209T000000,604000.0,4.0,3.0,1960.0,5000.0,1.0,0,0,5,7,1050,910,1965,0,98136,47.5208,-122.393,1360,5000,3.0,2.0
1954400510,20150218T000000,510000.0,3.0,2.0,1680.0,8080.0,1.0,0,0,3,8,1680,0,1987,0,98074,47.6168,-122.045,1800,7503,3.0,2.0
7237550310,20140512T000000,1225000.0,4.0,4.5,5420.0,101930.0,1.0,0,0,3,11,3890,1530,2001,0,98053,47.6561,-122.005,4760,101930,5.0,4.0
1321400060,20140627T000000,257500.0,3.0,2.25,1715.0,6819.0,2.0,0,0,3,7,1715,0,1995,0,98003,47.3097,-122.327,2238,6819,3.0,2.0
2008000270,20150115T000000,291850.0,3.0,1.5,1060.0,9711.0,1.0,0,0,3,7,1060,0,1963,0,98198,47.4095,-122.315,1650,9711,3.0,1.0
2414600126,20150415T000000,229500.0,3.0,1.0,1780.0,7470.0,1.0,0,0,3,7,1050,730,1960,0,98146,47.5123,-122.337,1780,8113,3.0,2.0
3793500160,20150312T000000,323000.0,3.0,2.5,1890.0,6560.0,2.0,0,0,3,7,1890,0,2003,0,98038,47.3684,-122.031,2390,7570,3.0,2.0
1736800520,20150403T000000,662500.0,3.0,2.5,,9796.0,1.0,0,0,3,8,1860,1700,1965,0,98007,47.6007,-122.145,2210,8925,,
9212900260,20140527T000000,468000.0,2.0,1.0,1160.0,6000.0,1.0,0,0,4,7,860,300,1942,0,98115,47.69,-122.292,1330,6000,3.0,1.0
114101516,20140528T000000,310000.0,3.0,1.0,,19901.0,1.5,0,0,4,7,1430,0,1927,0,98028,47.7558,-122.229,1780,12697,,
6054650070,20141007T000000,400000.0,3.0,1.75,1370.0,9680.0,1.0,0,0,4,7,1370,0,1977,0,98074,47.6127,-122.045,1370,10208,3.0,2.0
1175000570,20150312T000000,530000.0,5.0,2.0,1810.0,4850.0,1.5,0,0,3,7,1810,0,1900,0,98107,47.67,-122.394,1360,4850,3.0,2.0
9297300055,20150124T000000,650000.0,4.0,3.0,2950.0,5000.0,2.0,0,3,3,9,1980,970,1979,0,98126,47.5714,-122.375,2140,4000,4.0,2.5
1875500060,20140731T000000,395000.0,3.0,2.0,1890.0,14040.0,2.0,0,0,3,7,1890,0,1994,0,98019,47.7277,-121.962,1890,14018,3.0,2.0
6865200140,20140529T000000,485000.0,4.0,1.0,1600.0,4300.0,1.5,0,0,4,7,1600,0,1916,0,98103,47.6648,-122.343,1610,4300,3.0,2.0
16000397,20141205T000000,189000.0,3.0,1.0,1200.0,9850.0,1.0,0,0,4,7,1200,0,1921,0,98002,47.3089,-122.21,1060,5095,3.0,1.5
7983200060,20150424T000000,230000.0,3.0,1.0,1250.0,9774.0,1.0,0,0,4,7,1250,0,1969,0,98003,47.3343,-122.306,1280,8850,3.0,1.5
